"GEO","TIME","UNIT","PRODUCT","INDIC_NRG","Value","Flag and Footnotes"
"European Union (28 countries)","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","3 701",""
"European Union (27 countries)","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","3 693",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","2 975",""
"Germany (until 1990 former territory of the FRG)","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","627",""
"France","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","640",""
"Austria","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","457",""
"Slovenia","2014M02","Gigawatt-hour","Electrical energy","Used for pumped storage","30",""
"European Union (28 countries)","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","3 892",""
"European Union (27 countries)","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","3 880",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","3 128",""
"Germany (until 1990 former territory of the FRG)","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","682",""
"France","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","805",""
"Austria","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","443",""
"Slovenia","2014M03","Gigawatt-hour","Electrical energy","Used for pumped storage","24",""
"European Union (28 countries)","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","3 334",""
"European Union (27 countries)","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","3 322",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","2 719",""
"Germany (until 1990 former territory of the FRG)","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","644",""
"France","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","512",""
"Austria","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","422",""
"Slovenia","2014M04","Gigawatt-hour","Electrical energy","Used for pumped storage","30",""
"European Union (28 countries)","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","3 521",""
"European Union (27 countries)","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","3 505",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","2 881",""
"Germany (until 1990 former territory of the FRG)","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","649",""
"France","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","714",""
"Austria","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","452",""
"Slovenia","2014M05","Gigawatt-hour","Electrical energy","Used for pumped storage","32",""
"European Union (28 countries)","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","3 054",""
"European Union (27 countries)","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","3 036",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","2 507",""
"Germany (until 1990 former territory of the FRG)","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","544",""
"France","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","653",""
"Austria","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","458",""
"Slovenia","2014M06","Gigawatt-hour","Electrical energy","Used for pumped storage","32",""
"European Union (28 countries)","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 860",""
"European Union (27 countries)","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 845",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","2 272",""
"Germany (until 1990 former territory of the FRG)","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","533",""
"France","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","662",""
"Austria","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","389",""
"Slovenia","2014M07","Gigawatt-hour","Electrical energy","Used for pumped storage","26",""
"European Union (28 countries)","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","2 846",""
"European Union (27 countries)","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","2 826",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","2 288",""
"Germany (until 1990 former territory of the FRG)","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","633",""
"France","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","582",""
"Austria","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","373",""
"Slovenia","2014M08","Gigawatt-hour","Electrical energy","Used for pumped storage","27",""
"European Union (28 countries)","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","2 909",""
"European Union (27 countries)","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","2 902",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","2 346",""
"Germany (until 1990 former territory of the FRG)","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","677",""
"France","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","604",""
"Austria","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","341",""
"Slovenia","2014M09","Gigawatt-hour","Electrical energy","Used for pumped storage","26",""
"European Union (28 countries)","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","3 702",""
"European Union (27 countries)","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","3 690",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","3 004",""
"Germany (until 1990 former territory of the FRG)","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","739",""
"France","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","739",""
"Austria","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","533",""
"Slovenia","2014M10","Gigawatt-hour","Electrical energy","Used for pumped storage","29",""
"European Union (28 countries)","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","3 737",""
"European Union (27 countries)","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","3 721",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","3 062",""
"Germany (until 1990 former territory of the FRG)","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","743",""
"France","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","639",""
"Austria","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","533",""
"Slovenia","2014M11","Gigawatt-hour","Electrical energy","Used for pumped storage","34",""
"European Union (28 countries)","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","3 899",""
"European Union (27 countries)","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","3 873",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","3 111",""
"Germany (until 1990 former territory of the FRG)","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","793",""
"France","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","665",""
"Austria","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","541",""
"Slovenia","2014M12","Gigawatt-hour","Electrical energy","Used for pumped storage","39",""
"European Union (28 countries)","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 867",""
"European Union (27 countries)","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 838",""
"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","3 209",""
"Germany (until 1990 former territory of the FRG)","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","744",""
"France","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","658",""
"Austria","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","555",""
"Slovenia","2015M01","Gigawatt-hour","Electrical energy","Used for pumped storage","33",""
